shot_id,campaign,current_range,divertor_config,plasma_shape,preshot_description,postshot_description,timestamp,heating,pellets,rmp_coil
11806,M5,,Conventional,,"
REPEAT 
 NBI
","
NO BEAM
",2005-01-18 16:20:00,,False,
11798,M5,,Conventional,,"
DROP BT FROM 0.58T TO 0.4T TO TEST EFFECT ON NEW DALPHA CAMERA
","
SJA (25) MAX 151%. DALPHA CAMERA SATURATION LEVEL INCREASED.
",2005-01-18 13:43:00,,False,
11799,M5,,Conventional,,"
BACK TO BT=0.58
","
SJA (15) MAX 127%
",2005-01-18 14:01:00,,False,
11802,M5,,Conventional,,"
REPEAT
","
GOOD, A LITTLE BIT TOO BIG IN THE STARTUP, SJA (16) MAX 121%
",2005-01-18 14:59:00,,False,
11804,M5,,Conventional,,"
REPEAT
","
SJA (16) MAX 118% STILL TOO BIG, IP INCREASED AT THE BEGINNING
",2005-01-18 15:31:00,,False,
11805,M5,,Conventional,,"
REPEAT WITH VLOOP CONTROL SHORTER 0.25
","
FLATTER IP BUT BIGGER RECONNECTION PEACK
",2005-01-18 16:00:00,,False,
11852,M5,,Conventional,,"
REPEAT. GAS PUFF EXTENDED 200MS.
","
EARLY DISRUPTION AT 180MS. SLIDING JOINT ALARMS 149% MAX.
",2005-01-27 15:04:00,,False,
11807,M5,,Conventional,,"
REPEAT 
 NBI, MOVED IP AND DR FEEDBACK HANDOVER FORWARD FROM 150MS TO 100 MS
","
1.5 MW
",2005-01-18 18:18:00,,False,
11808,M5,,Conventional,,"
RESHAPE IP AND VLOOP. CHANGED P1 DURATION FROM 0.7 TO 0.9
","
SJA (16) MAX 117%
",2005-01-18 18:45:00,,False,
11809,M5,,Conventional,,"
TRY TO PROGRAM CONTROLED RAMP DOWN
","
SHORT BEAMS (100MS), P1 MIN AT 0.35, TOO EARLY FOR CONTR. RAMP DOWN, SJA (17) MAX 117%
",2005-01-18 19:02:00,,False,
11810,M5,,Conventional,,"
ADJUST RAMP DOWN TO OHMIC SHOT, INCREASE VLOOP FOR OHMIC SHOT
","
SJA (18) 117.3%
",2005-01-18 19:24:00,,False,
11811,M5,,Conventional,,"
CHANGED SIGN OF DRF FEEDBACK AND KEEP BV CONSTANT WHEN IP DECREASES
","
SJA (21) MAX 119.25% RAMP BETTER
",2005-01-18 19:45:00,,False,
11812,M5,,Conventional,,"
REPEAT SLOW DOWN CURRENT RAMP DOWN TO OBTIMISE
","
GOOD SHOT SJA (20) MAX 118.84%
",2005-01-18 20:00:00,,False,
11815,M5,,Conventional,,"
REPEAT 11812 PLASMA SHOT.
","
SHOT RAN OK. SLIDING JOINT ALARM MAX 123%. IP AND DENSITY LOOK OK.
",2005-01-20 10:22:00,,False,
11816,M5,,Conventional,,"
REPEAT.
","
SHOT RAN OK. SLIDING JOINT ALARMS DOWN TO 119% MAX. IP AND DENSITY OK.
",2005-01-20 10:45:00,,False,
11817,M5,,Conventional,,"
REPEAT. IP TWEAKED TO AVOID BOREDOM.
","
IP FOLLOWED TARGET. SLIDING JOINT ALARMS DOWN TO 116% MAX. FEEDBACK CONTROL WORKED NICELY.
",2005-01-20 11:02:00,,False,
11818,M5,,Conventional,,"
REPEAT. IP TWEAKED THE OTHER WAY.
","
IP FOLLOWED TARGET. SLIDING JOINT ALARMS 121% MAX.
",2005-01-20 11:20:00,,False,
11867,M5,,Conventional,,"
REPEAT WITH TF=0.58T
","
SJA 10, MAX 113%
",2005-01-28 11:52:00,,False,
11819,M5,,Conventional,,"
REPEAT. IP BACK TO FLAT. NOW PLASMA OUTER RADIUS TWEAKED BY 12 CM OVER PART OF SHOT.
","
SLIDING JOINT ALARMS 122% MAX. PLASMA RADIUS RESPONDED, BUT NOT QUITE AS ENVISAGED.
",2005-01-20 11:37:00,,False,
11820,M5,,Conventional,,"
REPEAT, WITH PLASMA RADIUS TWEAKED THE OTHER WAY.
","
PLASMA RADIUS TRACKED TARGET MUCH BETTER. DENSITY UP, PROBABLY DUE TO TWO LEAKING GAS VALVES REACTI VATED.
",2005-01-20 11:57:00,,False,
11821,M5,,Conventional,,"
REPEAT, WITH PLASMA RADIUS BACK TO NORMAL. THIS TIME, TWEAKED ZREF UPWARD 10CM. GAS VALVE 5 WITH AR GON ON FOR 5MS FOR MICHAELA.
","
VERTICAL POSITION CHANGED AS EXPECTED.
",2005-01-20 12:22:00,,False,
11822,M5,,Conventional,,"
REPEAT WITH ZREF RETURNED TO NORMAL BUT KEEP ARGON PUFF ON
","
OK, BUT SCHEDULER STOPPED
",2005-01-20 13:35:00,,False,
11823,M5,,Conventional,,"
CHANGE ZREF=-10
","
PLASMA MOVES DOWN AS EXPECTED, DISRUPTS ON LOWER DIVERTOR
",2005-01-20 13:56:00,,False,
11824,M5,,Conventional,,"
SET ZREF TO NORMAL, MODIFY IDIV
","
GOOD SHOT
",2005-01-20 14:18:00,,False,
11825,M5,,Conventional,,"
NBI AT 150MSEC, REDUCE LOOP VOLTS GRADUALY TO COMPENSATE
","
BEAM OK 1.7MW, 200MSEC, GOOD SHOT WITH IRE TOWARDS END
",2005-01-20 14:36:00,,False,
11826,M5,,Conventional,,"
MODIFY LVOLTS AND BV TO MATCH EXPECTED WAVEFORMS
","
GOOD SHOT, GOOD BEAM BUT DISRUPTS AT 300MS (FA TRIP)
",2005-01-20 14:57:00,,False,
11827,M5,,Conventional,,"
RELOAD 11808 FROM PREVIOUS DAY
","
OK, DIDN'T RE-SELECT ARGON PUFF
",2005-01-20 15:24:00,,False,
11829,M5,,Conventional,,"
REPEAT
","
GOOD, ALTHOUGH INITIAL IP IS LOWER UNTIL FEEDBACK PULLS IT UP. SLJ ALARMS HIGHER AT THIS TF
",2005-01-20 15:58:00,,False,
11830,M5,,Conventional,,"
RETURN TO 0.58T. SET ZREF TO TRIANGULAR SWING
","
NO XSX DATA. PLASMA FOLLOWS Z UPSWING BUT SLOW TO REVERSE. IRE CAUSES VDE DOWN
",2005-01-20 16:24:00,,False,
11831,M5,,Conventional,,"
REDUCE Z SWING BY HALF
","
SURVIVES BIG IRE.
",2005-01-20 16:42:00,,False,
11833,M5,,Conventional,,"
RELOAD 11831, CHANGE DRREF TO 
2.0
","
GOOD SHOT, LARGE IRE AT 240MSEC
",2005-01-20 17:16:00,,False,
11834,M5,,Conventional,,"
REDUCE ZREF SWING 
/-4.0, START BEAM 100MSEC
","
OK, IP FLATTOP NOT GREAT AND STILL HAVE IRE. ALSO UNUSUAL OUTBOARD FLASH AT 300MS
",2005-01-20 17:34:00,,False,
11835,M5,,Conventional,,"
REMOVE Z SWEEP AND RAISE DIVERTOR CURRENT
","
BETTER BUT IP STILL SAGS A BIT AT START
",2005-01-20 17:59:00,,False,
11836,M5,,Conventional,,"
TWEAK VLOOP AND BV TO TIDY STARTUP AND REDUCE BV DROOP
","
LOWER INITIAL IP, BAD HANDOVER TO FEEDBACK
",2005-01-20 18:19:00,,False,
11837,M5,,Conventional,,"
TWEAK BV AND SHAPE
","
NOT MUCH DIFFERENT
",2005-01-20 18:45:00,,False,
11838,M5,,Conventional,,"
TWEAK BV AND VLOOP
","
BETTER STARTUP
",2005-01-20 19:11:00,,False,
11840,M5,,Conventional,,"
TRY AGAIN
","
LOWER INITIAL IP AGAIN
",2005-01-20 19:36:00,,False,
11841,M5,,Conventional,,"
ADJUST BV AGAIN
","
NO BEAM. IMPROVED STARTUP
",2005-01-20 20:00:00,,False,
11868,M5,,Conventional,,"
REPEAT
","
SJA 10, MAX 111%
",2005-01-28 12:07:00,,False,
11847,M5,,Conventional,,"
REPEAT
","
SUCCESS. AT LAST EVERYTHING WORKED
",2005-01-27 13:11:00,,False,
11848,M5,,Conventional,,"
CHANGE TO 'MAST STANDARD SHOT', RESTORE 11060, SELECT MP-I/B GAS. DELAY O/B GAS FLOOD TO 300MS(200)
","
ZREF LOOKS LOW. NOTHING FROM I/B GAS, HENCE LOCKED MODE AT 270MS DUE TO FALLING DENSITY. XMA LOST CAMAC. SLIDING JOINT ALARMS 140% M
",2005-01-27 13:32:00,,False,
11849,M5,,Conventional,,"
REPEAT. FIX OF I/B GAS ATTEMPTED.
","
DENSITY LOWER THAN PREVIOUS SHOT. EARLY DISRUPTION. SLIDING JOINT ALARMS 144% MAX. I/B GAS EVIDENTLYFAULTY - HASN'T BEEN USED SINCE
",2005-01-27 14:02:00,,False,
11850,M5,,Conventional,,"
REPEAT. I/B GAS PUFF TIMING EXTENDED.
","
STILL DISRUPTING EARLY, BUT SOME GAS SEEN ON VIDEO AND IN ANE DENSITY. SLIDING JOINT ALARMS 146% MAX.
",2005-01-27 14:25:00,,False,
11851,M5,,Conventional,,"
REPEAT. I/B GAS PUFF NOW 100MS EARLIER.
","
GAS BETTER, BUT STILL NOT RIGHT. EARLY DISRUPTION. SLIDING JOINT ALARMS 144% MAX.
",2005-01-27 14:42:00,,False,
11855,M5,,Conventional,,"
REPEAT USING OUTBOARD GAS INSTEAD OF INBOARD. AF POINTED OUT HIGH OXYGEN LEVEL IN PREVIOUS SHOTS.
","
GOOD SHOT AT LAST. OXYGEN LEVEL A LOT LOWER. THIS EXPLAINS OUR PREVIOUS DIFFICULTIES WITH EARLY DISRUPTIONS. SLIDING JOINT ALARMS 13
",2005-01-27 16:12:00,,False,
11856,M5,,Conventional,,"
REPEAT.
","
GOOD SHOT. SLIDING JOINT ALARMS 137% MAX.
",2005-01-27 16:32:00,,False,
11857,M5,,Conventional,,"
REPEAT.
","
GOOD SHOT. SLIDING JOINT ALARMS DOWN A LITTLE TO 135%.
",2005-01-27 16:48:00,,False,
11859,M5,,Conventional,,"
REPEAT.
","
GOOD SHOT, SIMILAR TO PREVIOUS WITH GAS FROM 1-4 ONLY. SLIDING JOINT ALARMS 138% MAX.
",2005-01-27 18:28:00,,False,
11860,M5,,Conventional,,"
REPEAT, WITH ATTEMPT AT ELONGATION AFTER 150MS. IDIV INCREASED BY 5KA. EFPS HAD TO BE EXTENDED TO SUIT. ZDGAIN INCREASED TO 0.6.
","
DISRUPTION AT 220MS. NOT GOOD. SLIDING JOINT ALARMS 145% MAX. ALSO NOT GOOD. FA1 AND 2 UNSTABLE AND TRIPPED.
",2005-01-27 18:52:00,,False,
11862,M5,,Conventional,,"
REPEAT.
","
GOOD SHOT. SLIDING JOINT ALARMS 137% MAX.
",2005-01-27 19:25:00,,False,
11866,M5,,Conventional,,"
RELOAD 11812 BUT REDUCE TF (0.5T)
","
SLIDING JOINT ALARMS (SJA) 21 WARNINGS, MAX 144%
",2005-01-28 11:36:00,,False,
11870,M5,,Conventional,,"
REPEAT
","
GOOD SHOT! ...IGNORE WHY PREV SHOT FAILED. SJA 14, MAX 130%
",2005-01-28 13:20:00,,False,
11871,M5,,Conventional,,"
INCREASE TF FROM 0.535 TO 0.58
","
I^2T LIMIT FOR P1. SJA 10, MAX 120%
",2005-01-28 13:37:00,,False,
11872,M5,,Conventional,,"
40MS SHORTER FLAT-TOP
","
NO DISRUPTION. AGAIN I^2T LIMIT FOR P1. SJA 10, MAX 120%
",2005-01-28 13:57:00,,False,
11873,M5,,Conventional,,"
REPEAT
","
NO DISRUPTION. AGAIN I^2T LIMIT FOR P1. SJA 10, MAX 120%
",2005-01-28 14:20:00,,False,
11874,M5,,Conventional,,"
REPEAT WITH ZREF=-3
","
OK
",2005-01-28 14:41:00,,False,
11876,M5,,Conventional,,"
REPEAT WITH ZREF=-12CM BETWEEN 200 AND 300MS
","
GOOD SHOT !!!
",2005-01-28 15:18:00,,False,
11878,M5,,Conventional,,"
REPEAT AND HOPE BETTER LUCK
","
OVERDONE ZREF, VERTICALLY UNSTABLE
",2005-01-28 15:52:00,,False,
11879,M5,,Conventional,,"
CHANGE OUTER RADIUS FLAT-TOP TO 1.4, DECREASE BV BY 20% AND INCREASE P4/P5 RATIO TO FROM 0.65 TO 0.85
","
AGAIN NOT SUCCESSFUL,
",2005-01-28 16:09:00,,False,
11880,M5,,Conventional,,"
REPEAT BUT CHANGE ZREF TO 15CM
","
THE SAME I.E. DISRUPT VERTICALLY AT 200MS
",2005-01-28 16:24:00,,False,
11889,M5,,Conventional,,"
RELOAD 11841 - LOAD GAS WAVEFORMS FROM 11880- REDUCE TF TO 0.5 T
","
400 MS SHOT - OUTER RADIUS TOO LARGE AFTER 320 MS 29 SLIDING JOINT ALARMS MAX 149 %
",2005-02-03 13:32:00,,False,
11890,M5,,Conventional,,"
EXTENT RADIAL FEEDBACK TO 400 MS (WAS 300 MS) - INCREASE TF TO 0.58 T - NBI STARTING AT 100MS FOR 200 MS
","
380 MS SHOT - AGAIN SLIGHLTLY TOO LARGE AT 350 MS- 14 SL ALARMS AT 127 % MAX
",2005-02-03 13:47:00,,False,
11891,M5,,Conventional,,"
ADJUST VLOOP
","
OK
",2005-02-03 14:11:00,,False,
11892,M5,,Conventional,,"
ATTEMPTED TO SET UP P2 REVERSING SHOT BUT PROBLEMS WITH SOFTWARE. RETURN TO PREVIOUS SHOT BUT ADJUST END OF SHOT TO PREVENT PLASMA B
","
EARLY VDE - FAS CUT OUT
",2005-02-03 14:51:00,,False,
11893,M5,,Conventional,,"
TRY AGAIN
","
GOOD SHOT WITH FLATTOP TO 300MS DESPITE NO BEAM. PLASMA STILL EXPANDS SLIGHTLY TOWARDS END BUT IRE CAUSES VDE
",2005-02-03 15:07:00,,False,
11894,M5,,Conventional,,"
ADJUST GAS AT END OF SHOT TO RAISE DENSITY MORE IN RAMPDOWN
","
GOOD SHOT, BETTER TERMINATION
",2005-02-03 15:24:00,,False,
11895,M5,,Conventional,,"
ADJUST BV AT END A BIT FURTHER
","
EARLY VDE AGAIN. FA CUT-OUT IDENTICAL TO 11892 BUT 10MS LATER
",2005-02-03 15:42:00,,False,
11896,M5,,Conventional,,"
ADJUST EARLY DIVERTOR WAVEFORM TO REDUCE DIP IN P2
","
GOOD LONG PULSE. SURVIVES BIG 'EVENT' AT 270MS (FIRST SAWTOOTH?)
",2005-02-03 16:02:00,,False,
11897,M5,,Conventional,,"
REPEAT
","
BIG EVENT AT THE SAME TIME, SUBSEQUENT SHOWER OF PARTICLES LEADING TO IRE/VDE. LOOKS LIKE IT'S A LOCKED MODE.
",2005-02-03 16:17:00,,False,
11898,M5,,Conventional,,"
RELOAD 11392 STANDARD LONGRAMP SHOT
","
OK-ISH BUT NO BEAM, SO IP RAMP-UP HAD TO BE PULLED UP BY FEEDBACK
",2005-02-03 16:37:00,,False,
11899,M5,,Conventional,,"
REPEAT WITH NBI FROM 20MS
","
BETTER CURRENT RAMP-UP BUT SHORT BEAM AND FA CUT-OUT CAUSED VDE. NOTE THAT DENSITY IS LOWER THAN 11392
",2005-02-03 16:53:00,,False,
11901,M5,,Conventional,,"
REPEAT
","
GOOD BEAM BUT STILL A VDE FROM FA CUT-OUT
",2005-02-03 17:21:00,,False,
11902,M5,,Conventional,,"
CUT Z VELOCITY GAIN BY HALF IN EARLY PHASE
","
FULL LENGTH SHOT, BUT HSV DIDN'T TRIGGER AND IS STILL SHOWING THE PREVIOUS SHOT. GEOF HAS OBSERVED RISING OXYGEN LEVELS
",2005-02-03 17:44:00,,False,
11912,M5,,Conventional,,"
REPEAT, TO SEE DEVELOPMENT, FIRST I/B GAS PUFF IS ALWAYS IFFY
","
SJA BETTER, STILL EARLY DRAG (RESISTIVITY)
",2005-02-04 10:22:00,,False,
11903,M5,,Conventional,,"
REPEAT AFTER PUMPING AND REFILLING INBOARD GAS PLENUM.
","
GOOD SHOT BUT FAS CUT OUT LATER IN SHOT, WITH VDE. DOESN'T REALLY CLEAR THE CENTRE COLUMN VERY MUCH
",2005-02-03 18:05:00,,False,
11905,M5,,Conventional,,"
REPEAT AFTER MBH RESET
","
GOOD. FINALLY A FEW BLINKS OF H-MODE
",2005-02-03 18:59:00,,False,
11906,M5,,Conventional,,"
ADD 5CM TO DR REF TO LIFT A BIT MORE OFF CENTRE COLUMN
","
CLEARS CENTRE COLUMN BETTER BUT LESS H-MODE
",2005-02-03 19:16:00,,False,
11908,M5,,Conventional,,"
ADD 5 CM TO RADIUS REFERENCE, REVERT TO PREVIOUS DIVERTOR WAVEFORM
","
GOOD SHOT, IP RAMPS DOWN WITHOUT VDE UNTIL ALMOST COMPLETELY GONE. H-MODE STILL NOT AS GOOD AS 11905 BUT SOME TRANSITIONS NEAR END (
",2005-02-03 19:49:00,,False,
11911,M5,,Conventional,,"
RELOAD STANDARD SHOT (
11060)
","
SHOT OK, QUITE ALOT OF OXYGEN, ROPEY START UP, SJA 137% (27)
",2005-02-04 10:03:00,,False,
11913,M5,,Conventional,,"
RELOAD 
11908, SW NBI 1.5 MW 0.02 TO 0.270
","
SHORT BEAM FROM 0.02S TO 0.17S, IP DROP JUST AFTER MC PHASE (AS IN 11908), 1.7 MW
",2005-02-04 10:38:00,,False,
11914,M5,,Conventional,,"
REPEAT
","
ONLY 80MS NBI, SHOT REASONABLE OTHERWISE
",2005-02-04 10:54:00,,False,
11915,M5,,Conventional,,"
DELAY BEAMS TO 100MS, ADJUST VLOOP TO 4V FOR THE FIRST 100 MS
","
GOOD BEAM, SLOW INITIAL RAMP UP, PLASMA WOBBLES
",2005-02-04 11:14:00,,False,
11916,M5,,Conventional,,"
START BEAM AT 50MS, ADJUST INITIAL VLOOP TO 5.5 V AND VLOOP LENGTH
","
FAR TO BIG EARLY ON,
",2005-02-04 11:31:00,,False,
11917,M5,,Conventional,,"
REDUCE VLOOP TO 5 V AND INCREAS BV EARLY ON
","
GOOD SHOT. STILL TO BIG IN THE BEGINNING, HSV 200 MS LATE, SOME H-MODES
",2005-02-04 11:48:00,,False,
11918,M5,,Conventional,,"
DECREASE VLOOP BY 0.5 V, INCREASE BV
","
NO BEAM, STILL H-MODE WITH SAWTEETH, DESPITE HIGH OXYGEN LEVELS
",2005-02-04 12:04:00,,False,
11919,M5,,Conventional,,"
REPLACE SLOW HFS PUFF WITH FAST HFS PUFF
","
GOOD BEAMS, PLASMA TOO BIG AT, OXYGEN LEVELS TOO HIGH
",2005-02-04 12:20:00,,False,
11920,M5,,Conventional,,"
REPEAT SHOT 11917
","
PLASMA EXPANDS TOO MUCH IN THE 150 - 200 MS PERIOD
",2005-02-04 13:59:00,,False,
11921,M5,,Conventional,,"
DECREASED DRREF FROM 20 TO 10 IN THE TIME PERIOD UP TO 250 MS - DECREASED VLOOP FROM 3 TO 2.5 V IN THE PERIOD 75 TO 150 MS
","
RAMP RAMP WRONG NOW UNDERCURRENT IN THE 150 MS PERIOD - OUTBAORD RADIUS NOW BETTER
",2005-02-04 14:21:00,,False,
11922,M5,,Conventional,,"
150-0.05 MS FOR P1GAIN & IP GAIN. IP REF CHANGED
","
SIMILAR IP EVOLUTION PROBLEM WITH SAWTEETH
",2005-02-04 14:43:00,,False,
11923,M5,,Conventional,,"
REPEAT SHOT 11922
","
DISRUPTION
",2005-02-04 15:12:00,,False,
11924,M5,,Conventional,,"
REPEAT SHOT WITH HEAVY GAZ PUFF 220 MS
","
NO NBI SJA 136.99%
",2005-02-04 15:30:00,,False,
11925,M5,,Conventional,,"
REPEAT 11923
","
DISRUPTION NBI 250MS 1.6MW 128%
",2005-02-04 15:47:00,,False,
11926,M5,,Conventional,,"
CANCEL LATE GAS PUF, RAMP DOWN IP FROM 240MS
","
QUITE THE SAME
",2005-02-04 16:07:00,,False,
11927,M5,,Conventional,,"
REDUCE DRREF FEEDBACK FROM 10 TO -10 BETWEEN 240 & 284MS
","
SHORT NBI RADIAL CONTROL WAS EFFECTIVE
",2005-02-04 16:23:00,,False,
11930,M5,,Conventional,,"
RELOAD 11204 - SET TF TO 0.58 T NBI SET TO START AT 100 MS FOR 200 MS
","
280 MS SHOT - OVER CURRENT REQUIREMENT AT CHANGE OVER TO IP FEEDBACK - FA FEEDBACK CUTS OUT
",2005-02-08 10:13:00,,False,
11931,M5,,Conventional,,"
DECREASE CURRENT DEMAND FROM 670KA TO 500KA
","
420 MS SHOT - GOOD BEAM , SLIGHTLY OVER CURRENT
",2005-02-08 10:32:00,,False,
11932,M5,,Conventional,,"
INCREASE CURRENT DEMAND TO 550 KA
","
280 MS SHOT - XMM FELL OVER - PLASMA CURRENT NOW LOOKS GOOD
",2005-02-08 10:49:00,,False,
11933,M5,,Conventional,,"
INCREASE TF FIELD TO 0.585T
","
400MS SHOT - FAS CUT OUT AT END
",2005-02-08 11:06:00,,False,
11934,M5,,Conventional,,"
Z DERIV. GAIN CHANGED FROM 0.4V TO 0.3V
","
330MS SHOT A BIT SHORTER THEN 11933
",2005-02-08 11:22:00,,False,
11935,M5,,Conventional,,"
DECREASE BV FROM 1.4 TO 1.1 TRYING TO GET OFF CC EARLIER AND ALSO MATCH THE BV BETTER AT RADIAL FEEDBACK HANDOVER
","
NO NBI
",2005-02-08 11:37:00,,False,
11936,M5,,Conventional,,"
BV IS DECREASED FURTHER FROM 1.1 TO 1.0
","
SHORT BEAM
",2005-02-08 11:54:00,,False,
11937,M5,,Conventional,,"
MOVE IP FEEDBACK FROM 130MS TO 100MS
","
400 MS SHOT
",2005-02-08 12:10:00,,False,
11938,M5,,Conventional,,"
MOVE RADIAL FEEDBACK TO START AT 100 MS AND ALSO MODIFY THE DRREF TO MATCH BETTER THE PLASMA
","
GOOD BEAM - 350 MS SHOT - GETS TOO LARGE AROUND 250 MS
",2005-02-08 12:27:00,,False,
11939,M5,,Conventional,,"
TRY TO TIDY UP DRREF AT 100 MS
","
NO BEAM 400 MS SHOT
",2005-02-08 12:42:00,,False,
11940,M5,,Conventional,,"
TRY TO IMPROVE DRREF AT HANDOVER AND REPEAT TO GET BEAMS - KEEP DRREF CONSTANT AT 
7CM AFTER 200 MS
","
OHMIC SHOT 400 MS SHOT
",2005-02-08 12:58:00,,False,
11941,M5,,Conventional,,"
REPEAT TO GET BEAM
","
SHORT BEAM 410 MS SHOT
",2005-02-08 13:20:00,,False,
11942,M5,,Conventional,,"
INCREASE IDIV IN THE PERIOD 150 MS (REMOVE TWO POINTS FROM WAVEFORM)
","
SHORT BEAM AGAIN - 400 MS SHOT
",2005-02-08 13:36:00,,False,
11943,M5,,Conventional,,"
REDUCE BV BY 0.1 AROUND 100MS (HANDOVER TIME)
","
160 MS BEAM - 450 MS SHOT- NICE LONG STABLE SHOT-DETACHES FROM CC AT 150 MS - RADIUS STILL EXPANDS TOO MUCH AROUND 250 MS
",2005-02-08 13:51:00,,False,
11944,M5,,Conventional,,"
TRY TO IMPROVE THE RADIAL FEEDBACK STILL FURTHER- I.E AROUND 250 MS
","
GOOD 450 MS SHOT - 140 MS NBI - 1.6 MW BEAM
",2005-02-08 14:07:00,,False,
11945,M5,,Conventional,,"
TRY TO KEEP DRREF CONSTANT AROUND 200 MS
","
450 MS SHOT - GOOD BEAM
",2005-02-08 14:28:00,,False,
11946,M5,,Conventional,,"
REPEAT
","
GOOD, VDE AT THE END
",2005-02-08 14:49:00,,False,
11948,M5,,Conventional,,"
REPEAT
","
RADIAL FEEDBACK WOBBLES A BIT BUT ADA STAYS CONSTANT, EFM SEEMS TO WOBBLE A BIT. RADIUS A LITTLE BIT SMALLER THAN REQUESTED IN THE C
",2005-02-08 15:37:00,,False,
11949,M5,,Conventional,,"
REPEAT ADJUST DR REF A LITTLE BIT, 500 MBAR OF AR IN IMP. PLENUM (WAVEFORM NOT SELECTED)
","
SHORTER SHOT, LOST VERTICAL FEEDBACK AT 363 MS (AFTER IRE), PLASMA IS OVERDENSE, NO SIGN OF AR (GOOD)
",2005-02-08 16:02:00,,False,
11950,M5,,Conventional,,"
MODIFY DR REF BETWEEN 50MS AND 200MS
","
FA'S CUT OUT AT 0.163S :-( STABILITY SEEMS FINE, INNER GAP IS LARGER, DENSITY IS LOWER
",2005-02-08 16:23:00,,False,
